source,ogc_fid,nom,type_revet,etat_chaus,longueur_m,lon,lat
voierie_tertiaire_non_bitumee,292,,,,82,43.138148,11.576562
voierie_tertiaire_non_bitumee,293,,,,136,43.138055,11.575906
voierie_tertiaire_non_bitumee,294,,,,54,43.138341,11.576308
voierie_tertiaire_non_bitumee,298,,,,124,43.137199,11.576403
voierie_tertiaire_non_bitumee,300,,,,69,43.138347,11.577246
voierie_tertiaire_non_bitumee,301,,,,61,43.138000,11.577108
voierie_tertiaire_non_bitumee,302,,,,32,43.136904,11.575730
voierie_tertiaire_non_bitumee,305,,,,253,43.149555,11.575496
voierie_tertiaire_non_bitumee,306,,,,48,43.149003,11.574962
voierie_tertiaire_non_bitumee,307,,,,43,43.149195,11.575327
voierie_tertiaire_non_bitumee,312,,,,260,43.146555,11.568797
voierie_tertiaire_non_bitumee,313,,,,175,43.147269,11.568833
voierie_tertiaire_non_bitumee,314,,,,100,43.146727,11.568193
voierie_tertiaire_non_bitumee,315,,,,266,43.145577,11.566681
voierie_tertiaire_non_bitumee,316,,,,221,43.146322,11.566180
voierie_tertiaire_non_bitumee,317,,,,172,43.147782,11.567447
voierie_tertiaire_non_bitumee,318,,,,192,43.149067,11.568573
voierie_tertiaire_non_bitumee,319,,,,110,43.148251,11.568126
voierie_tertiaire_non_bitumee,320,,,,459,43.150668,11.572022
voierie_tertiaire_non_bitumee,321,,,,377,43.146650,11.563787
voierie_tertiaire_non_bitumee,324,,,,74,43.147018,11.561780
voierie_tertiaire_non_bitumee,325,,,,253,43.147255,11.560322
voierie_tertiaire_non_bitumee,326,,,,191,43.148141,11.560337
voierie_tertiaire_non_bitumee,330,,,,113,43.147852,11.559843
voierie_tertiaire_non_bitumee,331,,,,108,43.147224,11.563284
voierie_tertiaire_non_bitumee,332,,,,106,43.147573,11.563902
voierie_tertiaire_non_bitumee,333,,,,126,43.147267,11.564423
voierie_tertiaire_non_bitumee,338,,,,146,43.144438,11.565430
voierie_tertiaire_non_bitumee,339,,,,113,43.144492,11.566087
voierie_tertiaire_non_bitumee,340,,,,81,43.144486,11.566740
voierie_tertiaire_non_bitumee,341,,,,190,43.148326,11.566448
voierie_tertiaire_non_bitumee,342,,,,192,43.148530,11.565781
voierie_tertiaire_non_bitumee,343,,,,65,43.149565,11.575042
voierie_tertiaire_non_bitumee,344,,,,222,43.147243,11.575573
